
# IMU Configuration complete!
# IMU + GPS streaming started
nan,nan,nan,nan,nan,nan,nan,nan,nan,Waiting for IMU data: myICM.dataReady() == False
nan,nan,nan,nan,nan,nan,nan,nan,nan,Waiting for IMU data: myICM.dataReady() == False
nan,nan,nan,nan,nan,nan,nan,nan,nan,Waiting for IMU data: myICM.dataReady() == False
nan,nan,nan,nan,nan,nan,nan,nan,nan,Waiting for IMU data: myICM.dataReady() == False
IMU,1525,-0.178108,-0.207113,9.981442,-0.002557,0.000080,-0.001465,108.863976,1067.600098,-1005.167480
IMU,1539,-0.153779,-0.204334,9.969503,0.001305,0.003542,0.004128,43.351818,1014.022461,-946.641907
IMU,1542,-0.168359,-0.202056,9.976603,0.002504,-0.002717,-0.000266,81.257629,1034.189087,-956.655701
IMU,1556,-0.159038,-0.268138,9.951308,0.000639,-0.002051,0.001065,76.004158,1028.728271,-1009.274109
IMU,1560,-0.119972,-0.238130,9.936593,-0.002956,-0.000852,-0.002797,76.004158,1028.728271,-1009.274109
IMU,1574,-0.097932,-0.220850,9.941220,0.002104,-0.000719,0.005993,48.892948,1009.185364,-1018.477051
IMU,1577,-0.107588,-0.226230,9.965282,-0.003889,-0.000852,0.003063,48.892948,1009.185364,-1018.477051
IMU,1591,-0.073234,-0.199316,9.986626,-0.004688,0.001278,-0.005460,118.605759,1028.592651,-951.912109
IMU,1595,-0.166146,-0.243839,9.970092,-0.002157,0.002610,-0.000266,92.217400,1041.371094,-985.554260
IMU,1609,-0.146695,-0.221034,9.938585,0.001039,-0.000719,0.001465,92.031258,1028.912354,-999.748108
IMU,1612,-0.119796,-0.251266,9.984851,-0.004954,-0.001119,-0.000932,92.031258,1028.912354,-999.748108
IMU,1626,-0.151517,-0.193692,9.923700,-0.000959,-0.003649,-0.002663,47.198936,925.995544,-998.080078
IMU,1630,-0.127215,-0.238406,9.950974,0.000639,-0.001784,-0.001598,47.198936,925.995544,-998.080078
IMU,1644,-0.131970,-0.191258,9.930962,0.003036,-0.003382,0.000000,106.798424,971.105896,-955.819214
IMU,1647,-0.173616,-0.200746,9.897287,0.001305,-0.002051,-0.000533,106.798424,971.105896,-955.819214
IMU,1661,-0.166125,-0.231390,9.962682,-0.001758,-0.000985,-0.002797,106.798424,971.105896,-955.819214
IMU,1665,-0.139248,-0.191413,9.938135,-0.002157,0.001012,0.003462,119.472809,1061.571533,-1009.908630
IMU,1679,-0.105220,-0.228483,9.953321,-0.004421,-0.005913,0.000533,82.187225,1079.063110,-971.695068
IMU,1682,-0.170967,-0.221510,9.960094,-0.000559,0.001678,0.001332,70.131577,1003.029114,-1004.083801
IMU,1696,-0.137213,-0.285176,9.944488,-0.000027,-0.003915,-0.002663,118.336853,1009.951477,-975.599731
IMU,1700,-0.153891,-0.228990,9.969908,-0.002690,-0.003516,-0.001731,118.336853,1009.951477,-975.599731
IMU,1714,-0.163993,-0.275396,9.941795,0.002104,0.001012,-0.002131,92.589310,1060.481934,-985.836121
IMU,1717,-0.151694,-0.243166,9.934120,0.001039,-0.002051,-0.001598,92.589310,1060.481934,-985.836121
